TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,LOGICAL_NAME,TABLE_TYPE,DESCRIPTION,TAG
172.16.0.13/cobol_analysis_db,public,environment_master,2200_1308036_4_not_null,CHECK,name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_pkey,PRIMARY KEY,environment_id
172.16.0.13/cobol_analysis_db,public,environment_master,environment_master_category_name_key,UNIQUE,"category,name"
172.16.0.13/cobol_analysis_db,public,logs,2200_1307628_1_not_null,CHECK,id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,logs,logs_pkey,PRIMARY KEY,id
172.16.0.13/cobol_analysis_db,public,metadata,2200_1307637_1_not_null,CHECK,id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,metadata,metadata_pkey,PRIMARY KEY,id
172.16.0.13/cobol_analysis_db,public,single_analysis_master,2200_1308051_1_not_null,CHECK,analysis_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,single_analysis_master,2200_1308051_2_not_null,CHECK,analysis_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,single_analysis_master,2200_1308051_3_not_null,CHECK,process_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,single_analysis_master,2200_1308051_4_not_null,CHECK,parameter_name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,single_analysis_master,2200_1308051_6_not_null,CHECK,data_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_pkey,PRIMARY KEY,analysis_id
172.16.0.13/cobol_analysis_db,public,single_analysis_master,single_analysis_master_analysis_type_process_type_parameter_key,UNIQUE,"analysis_type,process_type,parameter_name"
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,2200_1308066_1_not_null,CHECK,summary_id IS NOT NULL
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,2200_1308066_2_not_null,CHECK,analysis_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,2200_1308066_3_not_null,CHECK,process_type IS NOT NULL
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,2200_1308066_4_not_null,CHECK,parameter_name IS NOT NULL
172.16.0.13/cobol_analysis_db,public,summary_analysis_master,2200_1308066_6_not_null,CHECK,data_type IS NOT NULL
